"BIOME","YEAR","EAI"
"Albany Thicket",1990,0.83572081231461
"Albany Thicket",2014,0.81442783391458
"Albany Thicket",2018,0.800388154255368
"Albany Thicket",2020,0.798677743871568
"Albany Thicket",2022,0.796919404841967
"Azonal",1990,0.692667093584621
"Azonal",2014,0.66461450115534
"Azonal",2018,0.629065150678154
"Azonal",2020,0.626799334408687
"Azonal",2022,0.619742889355084
"Desert",1990,0.846126815689147
"Desert",2014,0.841365611459069
"Desert",2018,0.800925129759824
"Desert",2020,0.80047196376301
"Desert",2022,0.79871532537942
"Forest",1990,0.852939086254865
"Forest",2014,0.825621823237686
"Forest",2018,0.821311573939834
"Forest",2020,0.820467909981567
"Forest",2022,0.819580280530763
"Fynbos",1990,0.673723176163302
"Fynbos",2014,0.633911872506815
"Fynbos",2018,0.604390944380441
"Fynbos",2020,0.601550612648079
"Fynbos",2022,0.599897277645643
"Grassland",1990,0.67596124190408
"Grassland",2014,0.640100071328016
"Grassland",2018,0.62074822933109
"Grassland",2020,0.617356193716026
"Grassland",2022,0.614545906716614
"IOCB",1990,0.445541041764208
"IOCB",2014,0.386683915052778
"IOCB",2018,0.361468664297532
"IOCB",2020,0.358837402251872
"IOCB",2022,0.355615153280888
"NOTVEG",1990,0.947766475529467
"NOTVEG",2014,0.935884362196303
"NOTVEG",2018,0.927293090646888
"NOTVEG",2020,0.92631173915451
"NOTVEG",2022,0.925524394546951
"Nama-Karoo",1990,0.986771534270264
"Nama-Karoo",2014,0.983897255477651
"Nama-Karoo",2018,0.980985169894175
"Nama-Karoo",2020,0.980579394306542
"Nama-Karoo",2022,0.980197743669088
"Savanna",1990,0.78599440161054
"Savanna",2014,0.752205423315934
"Savanna",2018,0.739014605556729
"Savanna",2020,0.734990267428469
"Savanna",2022,0.732748588915825
"Succulent Karoo",1990,0.9342307585436
"Succulent Karoo",2014,0.923426248595993
"Succulent Karoo",2018,0.917677070750194
"Succulent Karoo",2020,0.916487704085108
"Succulent Karoo",2022,0.915639829830738
"Total",1990,0.757637272382888
"Total",2014,0.726144440761145
"Total",2018,0.70568058029077
"Total",2020,0.702929886022994
"Total",2022,0.70077168472278
